source,target,src_word_len,tgt_word_len,src_char_len,tgt_char_len,char_ratio,word_ratio
Ол дьиэҕэ киир.,войди в тот дом.,3,5,15,16,1.0666666666666667,1.6666666666666667
Ол гэннэ тугу кэпсиигин?,что ещё расскажешь?,4,4,24,19,0.7916666666666666,1.0
Ону мин билбэппин.,того я не знаю.,3,5,18,15,0.8333333333333334,1.6666666666666667
Онуоха туохбаарый?,что из того?,2,4,18,12,0.6666666666666666,2.0
"Ол аата, төһө буоларый?","то есть, сколько будет?",4,6,23,23,1.0,1.5
Ким да кэлбэтэҕэ.,никто не приходил.,3,4,17,18,1.0588235294117647,1.3333333333333333
"Олиһин даа, оттон мин сэрэйбэт.","вот оно в чём дело, а я и не догадывался.",5,12,31,41,1.3225806451612903,2.4
"Халлаан былыттаах, ол эрээри ичигэс.","пасмурно, но тепло.",5,5,36,19,0.5277777777777778,1.0
"Онто суох, үөрүөхтэрин үөрэллэр!","конечно, как им не радоваться!",4,7,32,30,0.9375,1.75
"Ыллыыр, ону ааһан үҥкүүлүүр.","он не только поёт, но и танцует.",4,9,28,32,1.1428571428571428,2.25
Онто да суох биһиэхэ ыарахан.,и без того нам тяжело.,5,6,29,22,0.7586206896551724,1.2
"Иккитэ эрбэҕин эргитиэ, үстэ сөмүйэтин төгүрүтүө.","дважды проведёт вокруг большого пальца, трижды — вокруг указательного.",6,11,49,70,1.4285714285714286,1.8333333333333333
"Айыы сирэ аһаҕас, күн сирэ көҥдөй.","мир божий открыт, страна подсолнечная вместительна.",6,8,34,51,1.5,1.3333333333333333
"Саха, оҕуһун мииннэ да, ырыаһыт.","якут как сядет на быка, так и запоёт.",5,10,32,37,1.15625,2.0
